 Time | Epoch | Learning rate | Train loss | Validation loss | MAE_energy | MAE_energy_grad | GPU Memory (MB)
44:08 |     1 |     3.000e-04 |   726.8707 |        675.3502 |    10.7485 |         19.0969 |             110
44:08 |     2 |     3.000e-04 |   562.7783 |        439.4945 |    14.8436 |         14.7274 |             110
44:09 |     3 |     3.000e-04 |   362.2133 |        241.0780 |     5.2248 |         10.6075 |             110
44:10 |     4 |     3.000e-04 |   252.5731 |        172.7660 |     3.2636 |          9.1236 |             110
44:10 |     5 |     3.000e-04 |   203.6917 |        137.5385 |     2.4737 |          8.2359 |             110
44:11 |     6 |     3.000e-04 |   169.2608 |        111.3702 |     2.0435 |          7.4753 |             110
44:11 |     7 |     3.000e-04 |   153.4960 |        103.8317 |     2.4505 |          7.1413 |             110
44:11 |     8 |     3.000e-04 |   143.8606 |         96.7718 |     4.1318 |          6.8822 |             110
44:12 |     9 |     3.000e-04 |   129.6457 |         85.9278 |     1.7100 |          6.4533 |             110
44:12 |    10 |     3.000e-04 |   122.3005 |         80.2948 |     2.3415 |          6.1872 |             110
44:13 |    11 |     3.000e-04 |   119.3502 |         77.4772 |     2.4491 |          6.1487 |             110
44:13 |    12 |     3.000e-04 |   112.5029 |         69.0876 |     1.6648 |          5.7692 |             110
44:14 |    13 |     3.000e-04 |   109.8410 |         67.6040 |     2.7216 |          5.7226 |             110
44:14 |    14 |     3.000e-04 |   106.9579 |         62.6923 |     2.5738 |          5.5387 |             110
44:15 |    15 |     3.000e-04 |   103.5272 |         60.6163 |     2.8056 |          5.4386 |             110
44:15 |    16 |     3.000e-04 |    98.8460 |         57.9251 |     1.6410 |          5.2789 |             110
44:16 |    17 |     3.000e-04 |    95.1809 |         57.4523 |     2.1296 |          5.2744 |             110
44:16 |    18 |     3.000e-04 |    94.6513 |         55.6129 |     1.3565 |          5.1795 |             110
44:17 |    19 |     3.000e-04 |    91.8571 |         51.2639 |     1.3875 |          4.9810 |             110
44:17 |    20 |     3.000e-04 |    89.0948 |         49.6222 |     2.3079 |          4.9625 |             110
44:18 |    21 |     3.000e-04 |    90.5294 |         49.3481 |     3.2202 |          4.9010 |             110
44:18 |    22 |     3.000e-04 |    84.1900 |         46.1475 |     1.2155 |          4.7208 |             110
44:18 |    23 |     3.000e-04 |    83.3680 |         50.3944 |     3.9783 |          4.9050 |             110
44:19 |    24 |     3.000e-04 |    82.8944 |         45.3235 |     1.7954 |          4.6435 |             110
44:19 |    25 |     3.000e-04 |    80.2945 |         45.8144 |     2.0321 |          4.6650 |             110
44:20 |    26 |     3.000e-04 |    79.5003 |         43.6874 |     2.3077 |          4.5824 |             110
44:20 |    27 |     3.000e-04 |    77.3668 |         42.2717 |     2.6205 |          4.4977 |             110
44:21 |    28 |     3.000e-04 |    75.9910 |         40.8400 |     1.6689 |          4.3974 |             110
44:21 |    29 |     3.000e-04 |    72.5626 |         40.4369 |     1.5475 |          4.3766 |             110
44:22 |    30 |     3.000e-04 |    75.1343 |         40.7788 |     2.3039 |          4.4266 |             110
44:22 |    31 |     3.000e-04 |    72.3435 |         39.7703 |     1.0866 |          4.3044 |             110
44:23 |    32 |     3.000e-04 |    72.1943 |         39.1120 |     1.4567 |          4.3244 |             110
44:23 |    33 |     3.000e-04 |    71.0007 |         37.5297 |     2.5628 |          4.2213 |             110
44:24 |    34 |     3.000e-04 |    70.9052 |         36.7827 |     2.1071 |          4.1775 |             110
44:24 |    35 |     3.000e-04 |    65.9364 |         35.0347 |     1.5393 |          4.0849 |             110
44:25 |    36 |     3.000e-04 |    67.1320 |         37.1873 |     1.5834 |          4.1728 |             110
44:25 |    37 |     3.000e-04 |    65.8944 |         41.6178 |     2.9537 |          4.3963 |             110
44:25 |    38 |     3.000e-04 |    67.4042 |         38.6723 |     1.1295 |          4.2577 |             110
44:26 |    39 |     3.000e-04 |    64.4172 |         36.9808 |     1.3128 |          4.1816 |             110
44:26 |    40 |     3.000e-04 |    64.3198 |         33.4252 |     1.8278 |          3.9885 |             110
44:27 |    41 |     3.000e-04 |    64.0919 |         34.0740 |     2.5199 |          3.9665 |             110
44:27 |    42 |     3.000e-04 |    61.8379 |         32.4531 |     0.9955 |          3.9248 |             110
44:28 |    43 |     3.000e-04 |    62.4438 |         35.0566 |     2.4470 |          4.0715 |             110
44:28 |    44 |     3.000e-04 |    61.1299 |         32.7374 |     2.3193 |          3.8887 |             110
44:29 |    45 |     3.000e-04 |    60.7358 |         31.6240 |     1.3456 |          3.8554 |             110
44:29 |    46 |     3.000e-04 |    58.9836 |         33.1806 |     1.9760 |          3.9275 |             110
44:30 |    47 |     3.000e-04 |    59.3154 |         32.7296 |     1.1992 |          3.9079 |             110
44:30 |    48 |     3.000e-04 |    57.2529 |         31.5254 |     1.7475 |          3.8405 |             110
44:31 |    49 |     3.000e-04 |    57.5432 |         29.1832 |     1.7053 |          3.6620 |             110
44:31 |    50 |     3.000e-04 |    58.5016 |         30.1796 |     2.6734 |          3.7860 |             110
44:31 |    51 |     3.000e-04 |    57.5674 |         31.6744 |     1.9597 |          3.8529 |             110
44:32 |    52 |     3.000e-04 |    56.5514 |         32.4710 |     1.0038 |          3.8748 |             110
44:32 |    53 |     3.000e-04 |    56.4535 |         30.4525 |     2.4455 |          3.7425 |             110
44:33 |    54 |     3.000e-04 |    54.5635 |         30.2758 |     1.2996 |          3.7488 |             110
44:33 |    55 |     3.000e-04 |    54.3944 |         29.7180 |     1.5270 |          3.6828 |             110
44:34 |    56 |     3.000e-04 |    54.0401 |         30.7237 |     1.8132 |          3.7830 |             110
44:34 |    57 |     3.000e-04 |    54.3918 |         29.2632 |     2.2238 |          3.6694 |             110
44:35 |    58 |     3.000e-04 |    53.1539 |         28.3144 |     0.9650 |          3.5854 |             110
44:35 |    59 |     3.000e-04 |    53.7301 |         28.4944 |     1.6045 |          3.6156 |             110
44:36 |    60 |     3.000e-04 |    51.9172 |         29.1119 |     1.5751 |          3.6683 |             110
44:36 |    61 |     3.000e-04 |    51.6730 |         29.1704 |     1.4403 |          3.6512 |             110
44:37 |    62 |     3.000e-04 |    50.9063 |         27.0230 |     2.1690 |          3.5236 |             110
44:37 |    63 |     3.000e-04 |    52.1043 |         26.8283 |     1.5153 |          3.5241 |             110
44:37 |    64 |     3.000e-04 |    49.8987 |         26.0381 |     1.9611 |          3.4515 |             110
44:38 |    65 |     3.000e-04 |    50.5345 |         27.4162 |     2.1188 |          3.5309 |             110
44:38 |    66 |     3.000e-04 |    50.1206 |         26.4596 |     1.2485 |          3.4862 |             110
44:39 |    67 |     3.000e-04 |    49.8440 |         27.7024 |     2.6033 |          3.5744 |             110
44:39 |    68 |     3.000e-04 |    49.9978 |         26.8262 |     2.7603 |          3.5087 |             110
44:40 |    69 |     3.000e-04 |    51.3349 |         25.9733 |     1.0309 |          3.4531 |             110
44:40 |    70 |     3.000e-04 |    48.6512 |         24.0663 |     2.1433 |          3.3395 |             110
44:40 |    71 |     3.000e-04 |    48.4103 |         25.1930 |     1.7887 |          3.3837 |             110
44:41 |    72 |     3.000e-04 |    48.3817 |         23.9592 |     2.2120 |          3.2944 |             110
44:41 |    73 |     3.000e-04 |    48.2791 |         24.8148 |     1.4135 |          3.3786 |             110
44:42 |    74 |     3.000e-04 |    47.0296 |         25.3440 |     1.9804 |          3.4239 |             110
